P1A1,P1A2,P1A3,P1A4,P1A5,P1A6,P2A1,P2A2,P2A3,P2A4,P2A5,P2A6
 Wedding (24), fireman, oatmeal/cereal (24), sunglasses (17) ," home (15)",, Easter (12), lawyers/judges (23), pudding (15), hat (13) , car (36),
 5 (19), eggs (23), color (16), drugs (13) ," tan",, 2 (10), broccoli, archery (9), food (35) , bug spray (6),
 Three (24), coffee (3), iron, socks (4) ," Wed. (8)",, Four (14), gin, radio (4), jacket (18) , Sun. (14),
 Seven, ref (28), zucchini (4), car (36) ," behind (45)",, Five (27), coach (13), broccoli (27), coat (24) , stomach ,
 Lumpy (24), 10PM (27), Good Housekeeping (3), big home (7) ," $ (10)",, Ruined, 11PM (12), People (11), car (34) , heart,
 Breasts (3), nap (7), 10 (9), darts (26) ," pray (14)",, Your junk, go for walk, 5 (8), dice (6) , wash floor (2),
 $80 (6), sunglasses (27), onion (18), pray (22) ," elephant (35)",, $30, mirror (6), orange (29), brush teeth (33) , bear ,
 5 (24), swimsuits (16), green (10), -spaper (4) ," rings (35) ",, 6 (8), chlorine (22), black (17), -castle , earrings (50),
 Shoes (25), FL (27), $100 (25), eyebrows (37) ," cow (53)",, Pants/jeans (29), TX (11), $50, car , deer,
 Two (35), eggs (22), war (2), birthday (9) ," tuna (42)",, Three (27), brawl (24), graduation (2) , egg salad (14),,
 5 (19), clam (13), lawnmower (20), steak ," casinos (51)",, 9 (4), oyster (7), hose (20), soup (18) , casino girl,
 Tummy/stomach/waist (32), seven (2), thin ice (22), swimsuit (30) ," legs (14)",, Thighs (6), 12 (29), glass, dress (20) , face (53),
 Tennis (13), tissue/T.P. (25), shovel, 40 (7) ," orange (7)",, Soccer (23), carpet (23), snowmen (27- tied w/ snowball fights), 50 (12) , watermelon (50),
 Parents (17), five (19), cookies (5), real deal (5) ," elephant (43)",, Friends (28), three (20), crackers (20), good deal (3) , rhino,
 40 (26), bars (9), ham (18), eye (35) ," murders/crimes (48)",, 35 (10- 40 tied for #1 w/ 50), toilet (23), dressing (31), toe , Jesus/God,
 Two wks. (18), mouth/temper (31), burger (33), $ (21) ," kitchen (6)",, Month (6), wallet/spending (22), steak (22), car (30) , closets (37),
 Basil (5), 0, construction (30), weight (22) ," neck (50)",, Mushrooms (28), 4 (11), Heavy Metal (17) , wrist (15),,
 Fruit (28), smelly, wear shorts (16), 14 (5) ," cane (41)",, Granola bars (15), oinking (7), make own hrs. (22), 12 (30) , corn (6),
 Church (20), three (17), Dec. (7), song (31) ," church (15)",, School, four (5), Mar. (9), card (17) , work (40),
 Seatbelt (20), 15 min. (10), shuck (15), mixed drink (27) ," body (5)",, Pillow, five min. (27- tied for #1 w/ 10), eat (35), veggies , trunk (38),
 Hostess Twinkies, dragon (14), dead (13), 10 (32) ," prom (40)",, I.C. (25), bunny (14), storm (8), 8 (12) , graduation (13),
 Day (25), wash hands (31), “The Lion King” (4), hamburgers (31) ," crutches (49)",, Two days (26- tied for #1 w/ three), blood pressure (7), “Cinderella” (21), tacos , wheelchair (8),
 Models (8), hair (24), 7 (7), mom (34) ," ears (6)",, Muscle builder (16), clothes (16), 4 (6), pastor (25) , dog (2),
 Dishes (27), cuss 'em out (9), carrots (18), three wks. (5) ," glasses (11)",, Vacuuming (4), find another job (15), corn (on the cob)(27), month (33) , remote,
 4 (18), talk out of turn, cow (28), pizza (33) ," keys (56)",, 5 (21), lie (28), buffalo (24), mac ‘n cheese , weight,
 Phone #, snake (2), show, home (3) ," 10 (51)",, Panties (17), pitbull (10), game show, bank acct. (48) , nine (29) ,
 Queen Elizabeth (3), 25 (10), wildebeest, nurse (14) ," marshmallows",, Princess, 30 (24), elephant (26), factory worker (7) , bread (15) ,
 $1K (10), shrubs (18), BBQ (4), comb hair (16) ," the ground (14)",, $500 (21), weeds (16), sandwiches (9), makeup (32) , behinds (47),
 Gym (9), magnets (6), seven (6), humans (32) ," orange (43)",, Shower, shot glasses (5), 10 yrs. (21), person (4) , banana (14),
 50% (5), eat (25), tie knots (37), congestion (44) ," dog",, 90% (12), drink water (15), crafts, stinks (13) , elephant (45),
 1 (31), eating (6), Jun. (9), floor sweeper ," hands (12)",, 7 (4), TV/sports (21), Feb. (20), cook (13) , face (48),
 Rhino (32), half-hr. (18), minds (28), on foot (13) ," massage (45)",, Rabbit (18), 10 min. (18), keys (2), plane (28) , soak,
 TV (25), 7 (7), cotton candy, leg (39) ," face wash",, Eating, 5 (13), coconut (2), back (15) , shampoo (38),
 Sandals (18), 9PM (2), gym (24), roller coaster (10) ," balloons (36)",, Socks, noon (8), library (2), bungee jumping , dinghy (6),
 Eat (7), water bottle (18), 10 (42) ," sauce (42)",,, Shower (12), gas (32), NE (36), 15 (6) , gravy (2),
 8 (11), airport (7), beer (21), wallet/$ (33) ," alarm (4)",, 6 (14), mall (14), water (7), gun , airbags (35),
 Exercising (26), ball (19), hairspray (24), 8 (27) ," baseball (4)",, Playing, chips (24), barrettes (23), 10 (34) , boxing (21),
 Bathtub (16), goat, garage (19), wedding (9) ," five (10)",, Toilet (36), Muenster (13), attic, ring (26) , ten (38),
 Have sex (15), 8 (16), hunk (14), food (3) ," People (9)",, Clean his messes (17), 7 (20), trunk (11), water (28) , Enquirer (50),
 Vodka (14), motorcycle, three (14), motorcycle (5) ," pumpkins (40)",, Tequila (24), dong (12), two (30), lawnmowers (32) , witches,
 Bear (5), five (18), orange (18), lies (5) ," church (36)",, Lion (26), twice (18), mango, hair loss (36) , restaurant (18),
 Half-hr. (31), EMT (21), gymnastics (27), cotton candy (5) ," roller coasters (43)",, 15 min. (19), firefighter (33), swimming (11), meat (7) , planes (42),
 Doctor (14), leave unlocked (33), day (8), cry (43) ," basketball (6)",, Lawyer (16), turn signal, two days (28) , sleep (6),,
 5 (14), nose (24), sex (6), Moon (31) ," Bologna (3)",, 10 (9), hips (3), insomnia (13), people (25) , Liverwurst (2),
 10 (19), Italian restaurant, graduation (27), Ranch (34) ," car (47)",, 8 (15), Dr.'s/dentist's office (34), sporting event, French (21) , girl,
 TIME (27), carts (27), DAL (32), Christmas (12) ," eight (12)",, Sports Illustrated (4), strollers (18), HOU (24), Fri. , six (44),
 Butt (13), flexing (2), fires (43), 11AM (45) ," eat (36)",, Feet (2), dancing (6), tents (34), 10AM (12) , cheer (16) ,
 12 (12), food (27), hands off (5), stove (9) ," job (44)",, 16 (9), cat (17- food tied for #1 w/ another dog), mouth shut (21), car/engine (35) , school,
 Mashed potatoes (5), 7 (14), drink, Ian (34) ," bears (11) ",, Ham (9), 5 (14), go on vacation (28), Ivan (26) , cavemen,
 Walking…heaven (2), policeman (2), 6 (11), they jump/hop (31) ," Cheddar (46)",, Sleeping (9), waitress/waiter (28), 7 (4), green (17) , Parmesan,
 Marshmallows, nine (6), smoothies (2), hearts (32) ," sausage",, Carrots (21), 13, gum, chocolate (22) , pool (22),
 Liquids (17), eggs, 10 (13), swim (28) ," sting (28)",, Cereal, plants, 9 (13), basketball (2) , honey (41),
 Car (24), weather (10), 5 (15) ," market (41)",,, Wedding ring (21), scary movies (22), 1 (34), getting married (32) , options– A LOT OF TUMS FOR THE “FEUD” FANATICS,
 Three (13), teacher (35), water (22), foot (34) ," baked (25)",, Two (28), doctor, canned goods (15), forehead (3) , fried (22),
 Police (32), home (23), jumping jacks (39), 10 (19) ," bat (45)",, Judge (31), car (38), running/jogging/walking, 9 , ball,
 Roofer (14), phone (2), five (7), scissors (33) ," police car (10)",, Landscaper (25), air (7), three (23), knife (45) , ambulance (52),
 $ (23), 40 (29), loot (24), towels (35) ," teapots (29)",, Car (7), 30 (12), shoot (26), TV (26) , train,
 32″ (5), doctors (20), rope (21), car (34) ," arm (11)",, 34″, beds (22), hair (2) , bottom (40),,
 Police officer (13), 10 (9), cheese (19) ," tires (32)",,, Lawyer, 12 (15), bread , snake (43),,
 40 (24), heart (26), bee, walk (30) ," football (37)",, 30, legs (11), lice (2), exercise (6) , wrestling (29),
 Dr. (20), phone, 10 (26), plane tickets (2) ," French onion (40)",, Physical therapist (18), remote (7), 6 (7), milk (27) , jalapeno,
 5 (19), towels (13), birds (28), teeth (20) ," potato chips (44)",, 6 (7), shoes (12), bees (12), tongue (30) , grapes,
 10 (18), wall/home (22), tap it (45), “I love you” (6) ," ants (39)",, 30 (2), cowboy boots (13), chew on (28), “Good night” (47) , bad weather,
 Shirt (22), 5 (16), hold up, branch (33) ," smack (19)",, Socks (25), 1 (20), stop (19), bark (9) , spray (39),
 8 (15), time (14), Dr. (23), wheels/tires (35) ," smoking (36)",, 9 (5), $ (22), dentist, seat (2) , eye (21),
 Tie, strawberry (12), talk (17), 15 (27) ," electric (12)",, Undies (13), banana (8), 18 (3) , mechanic (13),,
 Dec. (21), 15 (2), $ (24), camel (28) ," gun (35)",, Jul. (13), three (9), animals (16- money , success tied for #1), gorilla/monkey (9) , badge
 100% (16), arms (2), lion (24), watch TV (35) ," mercy (2)",, 75% (14), butt (10), tiger (3), play VGs (19) , fame,
 Drink (28), 16 (25), students (7), poker (32) ," broom (12)",, The ball, 15 (26), food (3), Spades (2) , shower (7),
 Ford (27), 50 (7), vacuums (17), base (28) ," tummy (16)",, Chevy (10), 35, bibles (6), tennis (6) , bottom (42),
 16 (27), silverware (30), spitballs (2), bark (45) ," spray can (52)",, 18 (20), towels, talking (2), sleep (27) , swatter,
 Fridge (15), month (14), wine (20), car salesman ," Budweiser (39)",, Toaster (2), wk. (2), milk, dentist (3) , Coors LIGHT (16),
 Arm(pit)s (26), physician (4), three (22), raincoats (21) ," paying (37)",, Chest (19), painter (5), four (21), hats (4) , start conversation (2),
 10 (2), pooping (3), pool, seats (29) ," vampires (45)",, 3 (2), building nests (5), car wash, A/C (8) , mosquitoes (23),
 PLAYBOY (25), ten, ants (21), NYC (33) ," buses (45)",, Sports Illustrated, four (8), deer (7), L.A. (10) , school classes (7),
 10 min. (2), eggplant, heaven (20) ," traffic (28)",,, 35 min., tomato, stork (32), rowdy people (10) , nose (30),
 Two hrs. (20), toast (19), doors (18), snapper (3) ," mom (22)",, Hr. (21), first dance (21), toys (20), salmon (31) , clergy (38),
 Anniv. (33), stroller (20), hold hands (3), 10 (22) ," snake (46)",, Valentine's Day (20), (shopping) cart (33), scream (34), five , lizard,
 Screwdriver (14), chips (24), broad (22), car (26) ," 8 (35)",, Scissors (13), French fries (2), lass (5), clothes/shoes (33) , 7 (11),
 Wand (23), 8 (26), veggies (7), violin (34) ," U.S. (42)",, Rabbit (5), 7 (12), tomatoes/fruit (25), flute (5) , France (4),
 P.E. (18), 10 (5), their fist, FL (26) ," ribs (45)",, English (16), 9 (6), doors (14), CA (22) , chicken (16),
 Light switch (15), chimney, alligator (27), 16 (23) ," pants (17)",, Gun (24), beard (8), ant (4), 18 (32) , shoes (37),
 7 (28), apples (7), bank, street (26) ," HI",, 8 (17- 5 , 7 tied for #1), oranges (35), home (38), highway (14) , CA (15)
 Faucet (3), swim (20), beer (47), working (8) ," planes (13)",, A/C, hula hoop, apples, $ (31) , post offices,
 9 (8), stomach (34), ball (14), neck (45) ," Ace",, 7, butt (5), fish (41), arms , King (55)(JACKPOT NOW: $60K),
 6, hunting (4), s'mores (3), soap/shampoo (46) ," ruby (30)",, 3 (15), golf (16), soup, water (45) , diamond (43)(JACKPOT NOW: $80K),
 Eat/drink (39), diamonds, laughter, fries (34) ," math (43)",, Get remote (20), necklace (29), food (23), fish (16) , history (JACKPOT NOW: $100K),
 10 min. (6), cape (19), popsicles (38), Sat. (35) ," beaches (50)",, Two min. (13), matador (28), lollipops (37), Sun. , pools (JACKPOT NOW: $120K),
 Hot curlers, Feb. (25), wings (10), theater ," dogs (43)",, Blow dryer (23), Jan. (35), breast (40), school (43) , cats (JACKPOT NOW: $140K),
 20 min. (17), tea (30), bunny/rabbit (44), cheese (4) ," Fri. (48)",, 15 min. (19), coffee (33), kangaroo (27), butter , Wed. (JACKPOT MAXED-OUT AT $160K),
,,,,,,,,,,,
 15, sporting event (2), Wil, rat (12) ," time (8)",, 6 (14), funeral, Jim (7), dog (20) , roller coaster,
 Three (6), teeth (21), exercise (20), Arby's ," hands (47)",, Five (30), urine (8), go to work (15), McDonald's (31) , legs (6),
 Get sick (6), Seger, bulldog (29), car seat (14) ," everyday (46)",, BAD hair day, Marley (26), Golden Retriever, crib/bed (33) , once a wk. (7),
 $175, bones (2), have sex (2), cup (25) ," cry (50)",, $80, gizzards (14), wrestle (6), helmet (30) , poop diapers (12),
 Reading, $3 (7), seize (4), texting (3) ," phone #s",, Drink (21), $4 (16), sleaze (2), speeding (35) , $ (50),
 60% (7), gas (28), lemon (5), Ford (32) , bouncer (39) ,, 50% (29), toothpaste (7), orange (21- tied w/ cantaloupe), Chevrolet (23) , bartender (45) ,
 $100 (12), pizza (14), teeth (18), minnow (34) ," baby (12)",, $150, spaghetti (16), abdomen (4), guppy (22) , mom (11),
 Four (14), date book (29), Lucky Charms (11), bright pink (29) ," titties (4)",, Twice (24), old pictures (21), Trix (9), purple/lavender (35) , tush (2),
 Pen(cil)(33), hats (8), kick (15), 1/4 in. (36) ," chicken (54)",, Comb (2), vest, hit (18), 1/2 in. (37) , steak,
 Uncle, car, 5 (20), lemonade (36) ," principal (23)",, Pastor (15), old relationship (4), 4 (10), O.J. , gym teacher,
 3 (6), lavender, Mary (32), pepperoni (13) ," water",, 1 (28), melon, Meg(h)an (4), watermelon (21) , sand,
 Siblings (11), three (17), swimming (21), $ (5) ," potato chips (52)",, Mom (28), four (10), biking (3), boyfriend (30) , soda,
 Dog, noon (22), turn (15), car (32) ," basketball (2)",, Possum, 10 (8), -handed (22), cage (17) , football (38),
 CA (31), rent (19), $10 (21), strawberries (31) ," legs (32)",, FL (13), sell, $5 (29), I.C. (26) , back,
 Slide (30), drink (30), cake (35), prude (6) ," America (32)",, Swings (13), lay out (11), bread (31), crude (17) , China,
 8 (12), alligator (4), sodas (13), Dr. (26) ," walk (5)",, 9, tiger (15), spaghetti (26), soldiers , crawl (7),
 Straightener, 5 (27), bed (4), obituaries (11) ," crackers (45)",, Fridge (21), 8 (4), roller coasters (6), sports (16) , bread (3) ,
 Walk (in park)(8), limit (6), 7 (29), water (19) ," shoes",, Deep sea fishing, demon (14), 5 (23), coffee (18) , cat (46),
 Hand (22), sleeping bag (26), 100 (20), soap (2) ," shampoo (8)",, Foot, car (24), 50 (25), perfume (22) , lotion,
 11 (3), anteater (12), cellphone (3), pins (34) ," alcohol (49)",, 12 (26), zebra, glasses (7), strikes (9) , dress (14),
 Car (20), church (29), Nov. (4), 13 (31) ," paper (39)",, $, movies (16), Oct., 15 (18) , Street (16),
 Going to beach, wk. (25), Spanish (24), golf (32) ," dog (40)",, Going home (37), month (10), French (22), polo (38) , cat,
 10 (4), stomach growls (14), deodorant, cold air (31) ," Christmas (45)",, Six (14), get skinny (9), salt/pepper shakers (4), air conditioning , birthday (12),
 Wealth (25), train (9), 5 (25), celery (3) ," talk (12)",, Brand-new car (2), family (3), 4 (17), lemon (27) , play instrument (2),
 Write on board (4), five (25), Forever 21 (6) ," cats (44)",,, Detention (27), three (10), Rue (3), cups (3) , dogs (3),
 5 (9), pizza (14), tongue (18), make the bed (29) ," flamingo (3)",, 10 (28), spaghetti (5), teeth (2), take garbage out (14) , pelican (7),
 The day of (18), “Men” (16), bones (33), root canal (38) ," plane (34)",, The day before (29), Libs (3), dog (22) , filling (47) ,,
 Day (26), ostrich (6), -s of Leon, pickles/relish (34) ," urine",, Month (13), duck (20), Cole, mayo (3) , T.P.,
 Lawyers (25), France (28), brushes (14), 40 (24) ," bathrooms (42)",, Drs. (16), Spain (5), lipstick (20), 28 , kitchen (4),
 Retiring (17), work (2), almond (23), 6AM (31) ," weddings (36)",, Vacationing (6), school, peanut (9), 7AM (6) , birthdays (3),
 Porsche (12), church, drinks (2), noon (18) ," German (3)",, Corvette (28), plane (8), food (9), 10 (7) , Chinese (38),
 Love (19), beds (37), once a month (11), beer (35) ," ER doctor (41) ",, Trust (27), towels (6), every other wk. (29), TVs , nurse,
 Stomach, ceiling (17), 7 (4), NY (40) ," pants (30)",, Arms (30), 9 (4) , Vegas (32),,,
 9AM (12), decorations/lights (24), tacos (19), mom (11) ," Veronica (18)",, 8AM (26), presents (20), eggs (27), boss (38) , Vicki (38),
 Bathtub (27), two (25), fries (3), carnation (33) ," $ (49)",, KY jelly, three (17), hot dogs (12), tulip (13) , kids (42),
 President (9), polo (4), bulldog, 12 (17) ," sugar (4)",, Dr. (21), curling, Yorkshire Terrier, 3 (19) , cups (7),
 Three (24), boss (21), jewelry (15) ," bathroom (44)",,, Coffee, five (19), spouse/mate (30), $ (31) , computer (21) ,
 Five (22), lakes/water (8), chemicals (14), pet (34) ," potatoes",, Six (7), Bunsen burners (4), TVs (15) , cereal (5),,
 Dog (25), pump (13), comb (10), legs/body parts (31) ," $ (9)",, Cow, bump (25), car (32), rope , cigarettes (15),
 7 (23), shopping (8), weightlifting, kisses father (9) ," baboon (9)",, 8 (17), cleaning bathroom (21), triathlon (20), cry (37) , buffalo (2),
 10 (17), birthdays (38), alcohol (32), banks (47) ," football (30)",, 9 (5), Thanksgiving, soda (15), trains (27) , baseball,
 4th of Jul. (10), licking (23), biscuits (7), wrist (3) ," birds (42)",, Christmas (35), pooping (11), toast (31), arm (21) , clouds (20),
 Full (32), Texas Hold ‘Em, arm (6), 12 (33) ," shoe rm.",, Sick, Blackjack (26), legs (19), 13 (18) , laundry rm. (8),
 Divorce (4), MT (18), 7 (16) ," watch TV (41)",,, Marriage (21), CO (27), 10 (2), peanut butter (30) , shop,
 Boob implants (23), milk (6), $ (3), 10 (30) ," belly (42)",, Heart surgery (30), bread (5), them (28), 9 (11) , gut (28),
 Hr. (28), elephant (7), tag (14), marriage license (16) ," beer (17)",, Half-hr. (18), camel (18), hide and seek (14), vehicle registration (2) , coffee (39),
 Shoes (10), $20 (16), neck (23) ," smoothie (4)",,, Socks (2), $30 (11), helicopters, back (31) , banana bread (10),
